author_id,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24
0,0.0005,0.9995,0.005,0.0015,0.0035,0.009,0.0005,0.975,0.0005,0.9395
1,0.7515,0.001,0.0015,0.0075,0.946,0.001,0.816,0.014,0.007,0.006
2,0.0005,0.065,0,0.001,0,0.0005,0.0025,0.0005,0.0025,0.003
3,0.1635,0.203,0.996,0.0015,0.001,0.0175,0.0005,0.0005,0.999,0.2435
4,0.9995,0.002,0.001,0.0285,0.9935,0.1045,0.993,0.0025,0.0595,0.042
5,0.002,0.001,0.003,0.0555,0.0065,0.0005,0.0015,0.981,0.8535,0.7585
6,0,0,0.001,0.0005,0.996,0.0005,0.0105,0.0015,0.0005,0.0015
7,0.007,0.002,0.001,0.003,0.0075,0.0095,0.0135,0.863,0.999,0.0015
8,0.9905,0.001,0.0005,0.0005,0,0.8095,0.016,0.9985,0.9985,0.9915
9,0.001,0.0025,0.0005,0.005,0.002,0.002,0.8175,0.9985,0.0005,0.0175
10,0.5,0.5,0.0005,0.001,0.002,0.008,0.0015,0.0015,0,0.0005
